Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],GDP by Country
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,52296083.64654,55728655.7957709,59160575.5095456,75187768.3495329,95796033.6554112,216050534.814986,213448615.748728,177340879.462617,225726370.227358,185646984.458794,220626480.938017,266672202.480435,284120331.64738,317083688.199874,840285264.631545,814724055.898334,782913865.987568,687410630.457292,578235309.327198,487038679.355229,961900640.746364,1027701055.56871,1054112487.74083,1229461731.70458,1378176605.93705,1484578897.15783,1504909447.77459,1670671340.37966,1813609679.15313,1812170878.30632,2038414973.57173,2273060863.13981,7.25377137359745
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,7753501867.76095,3613498183.2136,2800026343.73636,3057475335.18846,3219462779.685,3395766677.67315,3991377904.13162,5125365191.98664,6410912049.87105,7745249283.88222,17627336228.0536,14953675992.6704,15141598622.5692,16242647229.7398,17596922469.9152,17470436258.5131,15842922532.7202,18629365612.096,24605375420.0672,..
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,215838448137.658,249985055484.303,299801542047.476,398374021953.897,445303484241.554,776576439106.956,770684323247.798,725111123634.115,732534887058.198,1046259374943.71,1298176105549.51,1401233225303.49,1398967436804.33,1771671206875.68,2238990774702.68,2194945278872.59,1947981991011.77,1945790973803.15,2078484517474.51,2501640388482.35,2814353869359.08,2846864211175.1,2994703642023.53,3889093051023.45,3357585719351.56,3469853463945.63,3690849152517.69,3974443355019.53,3888226035921.49,3889668895299.56,4259934911821.64,4072191736089.51,5.64885854043832
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,2215028588.45646,2417108577.52739,2112293279.98507,3006766758.43977,2894409937.8882,4035994397.7591,4057275042.82903,4412279843.44423,4504342149.43471,5735921420.38769,5074829931.97279,5197840972.6857,5251764269.91812,5889174833.90034,7482072380.2381,7718110780.94815,4982849054.0291,5314871683.5223,6166197191.76694,7632720680.28119,8881419348.21705,10744562614.7479,20885042153.0199,54783320576.8882,49406014245.4296,56164933479.4044,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503,79156409409.8581,72838798787.7066,6.71727587201818
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,13139863636.3636,14591750000,16885511363.6364,22347848101.2658,25351306818.1818,54617989795.9184,49428873839.0093,48020024183.7969,47820851221.3175,56379593476.1441,65652750377.4535,76261277924.5736,79169043222.8284,97891092003.4394,144428172489.335,142588875293.749,130457756628.436,136309295225.34,154564203586.954,202370140236.265,240963562236.127,247875422204.414,273546728473.073,235458133124.604,195683527003.375,193148146586.938,199844406013.533,212049447242.107,205257014892.498,188925995936.803,214873879833.648,219065872466.25,5.4110035324108
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,69520026.606416,88571004.744069,106101302.90585,140153748.266824,169918948.657061,402403057.151259,416184086.23097,379371913.715958,412876395.826869,603016317.536303,787390447.323345,898607670.624413,929799902.191124,1018977225.44427,1149858126.95747,1131555107.04907,1068024993.98697,1086170638.72901,1169136691.35372,1558759744.20913,1822499870.64051,1849802648.36391,2013106816.66011,2842065877.15443,2499113085.48255,2707146783.13056,2851610655.92391,3055791340.7025,2997331094.25136,3082909157.60994,3235816195.06609,..,..
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,125435590,131803552.222222,145533310.740741,167728455.185185,187589522.592593,215009569.62963,236357523.703704,267327642.222222,278098762.962963,445903592.592593,482009370.37037,520044370.37037,520444185.185185,540336925.925926,591018407.407407,599118592.592593,695555555.555555,698700666.666667,911496296.296296,997007407.407407,1061640740.74074,1125685185.18519,1166514814.81481,1213485185.18519,1043411111.11111,1122800000,1256413185.18519,..
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3394000000,3569000000,3869000000,4213000000,4238000000,5610000000,5799000000,5901000000,6013000000,6056000000,6366000000,5886000000,6123000000,..,..
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1904000000,1984800000.1654,2101300000,2569200100.2141,3161499901.58075,8716999708.717,9050000409.05,9470000103.94584,9721652086.95652,7231963515.98174,7084399840,7841602824.42748,8410724360.79545,7650196276.73508,19395491992.9939,18318412251.3642,19288928615.9382,18405221418.4665,20444205991.025,21576351798.9145,23577298589.158,26783388709.1786,29744247479.2443,57852150564.52,62186064718.7424,66053402744.7267,71653756504.1625,73328369925.8478,77172313916.4218,77715183063.2054,86053079767.3507,95003333381.1936,7.51914431315169
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,1995186720.74733,2041538039.57727,2384295814.85223,2432029296.80623,2666750820.49987,3588375621.82568,3461282459.96593,2995361112.0538,2829435908.16305,2950198723.60858,3446441784.82252,3635458213.65962,2937071740.39148,4220019242.74824,8778473643.01989,8794202394.72245,8595955600.7877,10324668270.876,11857030366.4598,13442861496.5747,14177835840.8311,16091817842.2348,21227749388.7287,..
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,78733594.8411852,78540057.1372471,87702828.5651641,89374237.2881356,98775328.9473684,165523634.503718,163577538.326314,138478900.628609,143856253.127248,130225018.751151,173836362.010677,164458120.318029,213143016.446378,243961995.512687,206457553.398034,224446663.800548,371095522.049254,392621389.507611,417806651.119856,477458577.161635,532062894.801533,587029096.029113,592365659.824007,1054915581.36774,1048229632.99726,1179004911.26075,1350177012.24771,1504630233.68639,1439638410.99593,1431758231.68287,1638517606.88578,1633559092.06611,5.83162782496972
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,267799999.8661,282050000,285380952.380952,307047619.047619,433954545.454545,482000000.160667,489333333.496444,437631605.263158,453488372.093023,504651139.534884,354591846.938775,413799990,379779389.705882,396582263.291139,717530683.169567,694754988.258295,712667896.727512,712167448.895612,726131434.715338,743063949.040207,787814379.183843,824880550.343965,2379817986.72917,4127660158.47323,4279840193.7046,4482697336.56174,4748174334.14044,4787637005.53638,5173760191.84652,5471256594.72422,8044498800.95923,15357537068.3434,7.78677156533569
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,331199999.73504,362799999.70976,371998971.855067,466798975.004938,565399296.718132,1474200000.29484,1623600000.32472,1816200000.24216,2009400000,2318000000,2047200000,2613926800,2736243800,3096289800,3723903723.63772,4153725966.88509,6813565983.11708,6331970412.88509,6205847136.98422,5071947797.98273,6087360734.56063,7030149790.93042,7638739123.54444,15146883647.3766,14849629407.9546,14069277532.4999,15093357143.42,16403864521.4121,15016090929.8744,14508222518.158,20877414952.1236,20253551885.2146,7.91031353304132
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,722999999.6385,730999999.664957,802996251.606543,912499599.456691,1034499999.78562,4266503525.6,4476697184.85,4915311846.5,5278120712.5,5677828959,6190521241.5,5902717091.41631,5432344901.72414,4923009551.55642,6366340265.87888,6414520529.61672,7186638029.05875,7651162302.3456,7858255253.49986,8230391504.77427,8869299234.3377,9757012869.26168,10917476873.546,19756533658.0822,20979791685.416,21717604580.8627,23136248046.2979,24067750465.9361,25089937108.6681,23827859694.7921,28488721296.2012,31717700115.2546,7.27157874160979
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,3800766535.62088,4476001946.01486,5710090550.62573,8030117555.62033,9388694744.86163,32291217616.936,29907228556.6964,33511383985.6741,35699772165.7093,41075395130.2862,50622896162.6006,59707404560.5944,68790222117.7576,76928784620.8158,168885436391.806,165768095391.557,171668898538.944,169404327616.605,166348873240.942,161385558801.811,169099768875.193,181569303960.226,193535434591.37,291459983449.58,309385622601.348,320860317562.562,341273289534.466,361731070995.726,363074560517.276,344943149590.058,368911387845.418,359838598806.091,8.75087082303391
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48706794878.7711,49073373275.9379,47218411470.2538,53749989092.0197,67608919144.3684,85285075491.886,104120803140.221,113211158292.936,115715618613.052,141033843265.669,125174166987.372,128609822750.039,143112196040.326,160565642983.587,164020460331.659,157227094449.074,182275444031.79,178788572067.589,..
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,526704545.473604,670251136.449339,839648790.669075,1154386886.40258,1515165330.16135,3206617990.90023,2765954047.08824,2864437621.66064,2984054752.93721,3989626783.50265,5520320783.44209,6106638182.38953,5672570277.78609,6468739130.22964,8503689103.93424,8982048417.30556,9025660361.75842,8234846522.85472,9318398443.55146,11429335645.2747,13825309101.2703,16852971986.5569,17465318552.2941,17867662177.8911,17517210519.0912,20793168030.9524,24728285177.4603,26260850582.0687,24663643101.958,21553080483.8132,25552639899.067,27841648044.3753,7.63009337142412
India,IND,GDP (current US$),NY.GDP.MKTP.CD,62422483000.5672,67351407965.1281,71463193831.0092,85515269585.4,99525899116.054,200715633588.789,218262154670.612,212157639237.202,232511561180.057,248985994042.212,279033584092.223,296589677725.074,296042058867.01,320979026420.035,421351318896.874,458820417337.807,468394937262.37,485441014538.638,514937948870.08,607699285433.872,709148514804.659,820381595512.902,940259888792.141,2039126469963.35,2103588347241.77,2294796889945.04,2651474263257.15,2702929639861.5,2835606242052.48,2671595389575.7,3150306834279.65,3385089881935.39,7.67925042889472
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,9150684931.50685,9333536359.74431,10997590361.4458,16273253012.0482,25802409638.5542,90158449307.26,81052283404.2179,84853699994.5677,85289488375.4688,79954072569.4637,75929617576.2282,84300174475.7955,94451427898.007,106140727356.675,95445547872.715,140001351215.462,165021012077.81,160446947784.909,195660611165.183,234772463823.808,256836875295.452,285868619205.904,364570515631.625,890814755511.291,860854232717.853,931877364033.902,1015618744168.15,1042271532953.36,1119099871386.16,1059054842711.72,1186505455720.81,1319100220389.02,9.55937769142673
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,10976245142.6131,13731802908.4244,17153463263.1086,27081698249.5083,46209092072.1383,125948756439.485,156365156618.241,162276728619.519,180183629599.684,209094561833.48,134009995923.169,123057861333.908,120496362916.271,124813263926.225,110276913362.508,113848450088.351,109591707802.216,126878750295.944,128626917503.72,153544751395.43,190043433964.841,226452138291.542,266298911661.144,460382791488.626,408212917871.725,457954614595.24,486630147094.69,327900695065.853,283649531542.631,239735486745.704,359096907772.985,388544468139.733,6.85898888309191
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,3281318693.37889,3865346534.65347,4113848002.40312,5134367778.1446,11516762614.2906,42382333333.3333,40712903225.8064,46938387096.7742,48425161290.3226,47264516129.0323,56774193548.3871,62684516129.0323,65831935483.871,180408064516.129,20617405044.2425,36881601583.8194,48364250943.9051,36176430128.8057,32928454672.4246,21921569478.8163,36627901762.063,49954890353.2609,65140147197.1215,228415656174.957,166774104911.48,166602488747.885,187217660050.676,227367469034.031,233636097800.338,180924091442.953,207691599310.345,264182173793.103,8.43921833683208
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,4395995085.99509,5098250287.46646,6318060582.21873,7481173065.79201,7896860614.98803,21474752962.2178,20766047763.5314,20106648454.8404,21270013325.5601,28714571852.4799,33920518492.5094,37772896220.7559,39238392677.7542,49305632408.4929,90199410115.5097,98893958262.6438,100207610429.909,109346669229.695,128596035288.401,164670771259.602,194372115041.065,211876989655.907,232180617162.279,259170903647.532,291775166506.891,299091127524.513,336377500160.549,385736680797.111,399321701632.424,425852281928.114,504182603275.542,529244870222.765,9.21299480523449
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1382605389.32055,1567402513.69642,1563667799.61578,1659131243.73837,1947332921.74718,2328658227.8481,2822358473.16983,3032409189.11876,3422735301.694,7708459145.00473,7084795708.26863,6846373276.62067,6979791187.09008,7491654051.08011,7314966839.10981,6684229268.52985,..,..,..
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120057482023.381,120922450570.289,136034659581.426,134637422752.725,125059962957.686,131298954868.837,139973668874.271,147083996033.603,158670160184.179,314330061977.263,303414276832.04,322102790386.835,358245427458.541,376691526553.276,402470513619.148,413267669231.522,488526545878.891,522033446211.625,..
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,113395315985.13,124672365792.759,145260039840.637,175492055795.417,199564489431.378,427272645669.291,443042373788.883,437887689001.543,452217492140.757,640386352773.087,805713128174.485,891608957155.608,928661332204.347,1181222653522.95,1270052525928.4,1252446659833.79,1146676894209.73,1168023426056.38,1276769338449.3,1577621707050.51,1806542968545.56,1858217147203.73,1949551719389.64,2162009615996.51,1836637711060.55,1877071687633.83,1961796197354.37,2091932426266.94,2011302198827.41,1897210466667.52,2114355756913.92,2010431598465.38,5.5292781123322
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1404720442.16912,1539862278.32699,1875146587.4443,1905917553.19149,2375122375.12238,3293496313.77974,3619261342.79358,2373564449.31052,2100238892.94137,2754549414.34805,3287007521.26367,3828342704.09708,4404938108.99142,4592208086.69235,8787195622.43502,8887058073.23537,9005064474.93003,9194727831.07318,9719009561.76107,9430234851.61584,10174664853.9476,11243865787.8079,11930179173.4168,13899225339.6917,14188938780.5039,14077105502.9175,14808984880.5796,15730791525.65,15830766372.2651,13812421859.4026,14657586359.3802,17097760745.2096,4.80597922099724
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,212609187707.426,240151811888.737,318031297493.401,432082723461.096,479625998614.637,1134518153718.18,1243323766554.87,1318381627007.46,1398892549340.87,2078952922458.31,2532808573157.03,3071683812149.66,3054913797217.03,3132817652848.04,4098362688659.34,4635982020564.97,4968359152795.66,4374709984220.01,4182845406488.62,4519563042183.73,4893116005656.56,4831466523975.98,4601662661030.07,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5048789595589.43,5005536736792.29,4231141201863.17,5.75148335081017
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,639519745.343237,678159730.013309,788479129.826847,943784219.011099,1197485191.68193,4681245432.7939,4920689945.72999,4967162167.94119,4993601523.5943,6402053536.84624,6756214752.90563,6277443443.29635,4221374898.29454,4160089597.13932,7912270803.94922,8149929478.13822,8460789844.8519,8975812449.11407,9582512830.86809,10195627644.5698,11411706629.055,12588998589.5628,15056981664.3159,36847643521.1268,38587017887.3239,39892551126.7606,41608435915.493,43370860704.2254,44503005774.6479,43579916197.1831,45116317042.2535,47451499859.1549,8.28220368467409
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,26932729102.7371,22135245413.137,16870817134.7297,18291990619.137,22152689129.5583,24636598581.0204,30833692831.3955,43151647002.6096,57123671733.8952,81003864915.543,221415614007.347,184388404428.843,137278320084.171,166805788966.78,179339977517.062,181667185041.48,171082365723.326,197112255360.612,220623001966.686,..
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1603447357.24209,1778391289.20054,2107279157.38336,2509001444.1602,2969958812.43227,6431579357.30273,5979198463.82274,6191437070.43467,6135034338.30431,7239126716.93219,7970820530.76691,8355380879.12955,8283114648.38116,8572359162.86876,14093998843.7334,12896010520.4958,12705350153.4012,12986007425.8781,13147736954.17,14904517649.8476,16095337093.8366,18737895400.78,25825512277.8911,68285796662.6532,70120446663.6256,74815143796.3978,82036511258.8324,92202979940.671,100378435824.178,100657505600.655,109703659312.872,113420008178.793,8.19027289421667
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,14295279.5446937,15278632.4786325,18936526.9461078,31710657.7257811,85637174.3722131,40573595.7256125,37837326.5510205,42123029.9899231,32125260.5924754,31417654.8332916,35709784.4809478,44534439.3153157,44282893.8871154,42933307.6600826,65333678.1499681,69034484.9833866,67253134.6144925,63099885.3082003,72197928.6223641,90231027.7755407,102370615.240641,112136227.796417,110237144.46042,177868153.090733,170292283.246013,178507958.050329,188540699.145686,196501504.185186,175181684.792212,177553260.108828,227610034.764306,223352943.188404,5.28619970035163
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,9005023183.92581,9903499927.98502,10862327878.032,13876531432.0145,19544094741.2663,78358866334.7376,87760360941.0248,97510235986.0046,101296177099.552,116836802995.065,147948259722.577,199590823957.237,246927292765.02,283367525714.932,383330931042.356,497512659612.052,576178114168.494,547658231279.87,627246081417.004,702717332012.991,793175007858.066,934901101762.491,1053216892422.02,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1644312785467.12,1810955871380.98,1665245538594.96,10.0383563634296
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7074392884.04507,6295845465.35898,6682674062.9615,7180768692.26354,7878762812.20156,7899741278.93571,7717143395.25699,9412034299.23122,9429156201.95851,..
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,2873638855.71701,3880395313.46976,4450540660.14606,5408798851.99722,13006929853.3958,21577153431.363,20871105019.9711,21700088897.5646,21445952792.8199,17904010287.4978,22368684065.8034,20690303615.1228,24313821169.1141,18427777777.7778,25943736430.932,30122398833.1705,37718794714.1811,34889597791.4123,38135756834.1741,47874659167.9939,59439090600.6108,80798630136.9863,101557251976.794,162650191195.358,114585567439.674,109406169162.833,120687635952.46,138202309918.726,136191752590.897,105948765156.029,136797422273.868,184558274288.737,8.00458873608311
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,2675000000,1645963749.83146,1249061487.01457,1369688498.06778,1525116370.27939,1605643104.73021,1919008090.49641,2211534585.0034,2460246796.05234,2834168893.27265,7468102369.13654,6678177483.42949,6813095396.14317,7702938395.18458,8271106196.04253,8871019822.76098,7780873258.66887,8740681889.20633,10930644915.2401,..
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,1757142852.65122,2366666615.55556,1776842088.51577,1087273103.69639,598961269.297879,714046821.093797,865559879.284802,1280177838.71905,1454430642.49183,1731198022.45494,1768619058.34647,1758176653.07746,2023324407.30316,2366398119.8821,2735558734.81409,3455031447.60194,13279248478.8161,14426381187.0894,15912495368.8717,17071162084.4067,18141651381.3884,18740559554.1632,18981800705.0794,18827148530.0151,15724383783.2385,..
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7166275467.65161,7533788133.55753,7958852838.93395,8362398701.58943,9557031605.27512,11771975156.8073,14435700533.368,17003459863.0989,21570076498.6205,31386896487.0402,27263090547.0617,28083597512.4849,30483806017.8321,34429023435.0205,34343961072.8229,34601740323.338,39725383601.2125,41153912662.862,..
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,3313540067.93246,2717998687.71002,2838485353.96187,17247179005.5219,17391056369.2265,17260364842.4544,17649751243.7811,19152238805.9701,20082918739.6352,21159827992.0398,21497336498.9718,22022709851.5423,48095213746.4677,49929337837.0813,51147308773.9304,53027680685.8375,54901519155.6219,51605959131.3654,31712128253.7961,23131941556.7843,..,..
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,68739972.531507,76480293.9524112,80913175.462898,121188698.642069,150851315.734636,348741737.284042,386699308.945943,333163557.421089,268629925.923116,318858469.538225,402768258.541937,470395904.054049,495409138.180352,596410302.16263,928460865.117733,912773656.150185,887291645.302466,825706961.238689,775777263.090784,1157825409.28048,1511236655.52047,1682343439.30976,1800092519.44933,2441063169.47922,2359754087.58169,2114426468.65681,2306741598.79677,2556247155.56945,2436029587.61009,2117736527.79886,2373416268.51107,2553459762.7992,6.95168003168368
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,874000000,906000000,927000000,748000000,897000000,949000000,1119000000,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982500,3509000000,4001047150,..
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,28904164239.3038,27251275902.5491,35975878804.297,38270983031.8246,34112079628.5693,20481889763.7795,26265625000,33122307692.3077,47334697611.8548,60094248771.9918,57372352562.4888,48717506272.6981,49912085228.3487,67157451660.2727,76686048499.3527,69254143968.3398,46808208747.2754,39798423941.0335,45752336035.9846,..
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,90099360.773871,104889791.063203,124940289.356533,165928864.127263,193980464.947212,522096760.52682,524023708.331749,502620920.656533,529073612.453579,779357946.9847,1052849231.31947,1161757671.01756,1119983801.21338,1421508875.2782,2479698575.81181,2664105901.18863,2483890593.70545,2491800558.77674,2688617884.8748,3070803439.07708,3454374269.99655,3659320086.68296,4000101033.35638,6657526636.11731,6268513139.70288,6237299538.02934,6474310909.50636,6692618410.5125,6436467007.11932,6405765970.4778,7186428783.11896,..,..
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11239547690.9797,10971583944.7561,11524776866.6379,12237388001.7264,14259781159.0119,18781721376.1985,22627507451.5648,26097677571.8373,30183575103.5262,48533659592.1728,41435533340.3883,43047309305.7375,47758736931.7805,53751411409.4437,54760617012.9166,56914826860.6918,66414994991.7935,70334299008.3797,..
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,1457768455.02219,1518773421.37846,1901697369.62698,2609875802.11136,3183637116.81856,4602316793.21914,4524217751.47929,4438435492.87908,4577211767.10374,6685595087.59256,8320902215.01891,9418167855.18376,10037674037.674,12778792853.6939,20150053345.1878,21899317598.8414,21230182989.3036,21387533703.2327,23649833332.1655,29667268248.1305,35064843792.8993,37672280120.4794,42910146296.0646,68804811897.6434,60071584216.1375,62216885435.9505,65712180342.9842,71000359760.4599,69825641851.0104,73992591285.3017,85506243833.7816,82274812250.9186,7.75607346515477
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,1142497657.76235,1133013285.79953,1304361353.27024,1362072216.70638,1532105006.45293,1957724747.88723,2288761917.39621,2705665379.75616,3246481368.16,6797792474.19192,6547670439.26,6774193548.3871,6860272608.45211,7371692468.55849,8246479394.59577,10643253442.6232,12160056754.8373,14874098382.0863,54902831793.5018,45048188247.6458,45070807279.6288,50440935654.0075,55284309690.2698,55204960999.5882,25459685019.548,30123795336.8931,21979475560.6214,..
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1111859569.77066,1199507629.99222,1341590681.586,1653062347.36378,1917508190.04689,4784977348.93187,4686457013.0813,3905938480.86119,3802557894.8719,4347989798.80705,3212900560.81729,3189456961.27041,3175638332.64471,3931334870.6285,4401967634.08547,4277903780.29131,4629247204.9853,5438332600.53228,5351701664.71362,6372498891.38118,5064732625.39054,5859269751.63826,6395712491.75146,12522957401.0395,11323020699.9128,11848613859.5279,13176313593.5509,13760033282.6071,14104664677.9627,13051441203.4474,14554754115.2112,14954967604.4073,4.99809543115117
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,1717379360.42987,1780147545.95853,1758028656.74575,1646442592.58455,1722585991.06697,1721712198.25696,2008189638.9482,2314204989.72207,2737088195.94459,2547609562.74027,2584478943.60105,2537307566.12394,2498008653.13585,5087328437.8737,4669789300.35662,5058726350.48896,5320409651.47544,5818279739.14354,8801326169.14547,9219474373.16418,7909868618.46366,8943543677.18899,9880675785.93057,11025371147.1876,12056108780.2073,12602334123.7637,13164667626.9363,..
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,3864145664.81179,4244395358.10166,5043347485.91194,7662903760.34323,9496205619.75383,26804497470.7328,30347442121.8264,33942902256.9454,31199637541.3219,27734114980.9699,32181205900.5823,35272104730.5683,38847970073.3093,44024585239.6137,72167498980.8398,79148421052.6316,93789736842.1053,92783947368.4211,100845526315.789,110202368421.053,124749473684.211,143534418452.154,162692260155.07,338066121289.413,301354783698.72,301255332137.075,319109103242.055,358788833524.945,365177744321.011,337339463179.961,372981073017.749,406305924656.071,8.95262648324821
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,47911342.4164181,57829787.2422454,109503546.105763,127190757.959989,141882254.230178,141223029.383064,168514513.375071,189514434.244,215043969.849246,540096397.621071,589239753.610875,624337145.284622,870031653.109155,897031250,1052121054.6875,1226829562.5,1163362437.5,1575200390.625,3697353155.04883,4109416450.22514,4379134272.943,4754185598.8417,5300949822.99805,5609385433.592,3746329358.28788,5405557161.73799,6189865408.23158,..
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,359772315.067256,395218629.372336,486617279.362262,563683703.170094,538747340.766661,1333754226.22123,1297765325.81885,1232932104.67093,1392196048.89064,1852163455.53598,2090629984.18361,2169040604.50929,2181821905.94196,2681912149.14767,2920358712.64824,3440724707.80834,2961484953.73364,3468337941.0883,3908121309.85681,4714071978.28635,5454249122.71389,6247515892.29694,6905934219.29467,14364937127.7002,13104764378.7114,14026048334.2131,15365713059.1057,17070867577.6666,17280250805.2245,17465392779.0366,19309463505.9833,18827176532.3169,7.61074094618012
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,250721821.553678,264579879.784878,295118249.324933,345602025.375393,376094108.475331,1234518125,1165771369.00625,1101828568.76804,1117835285.50512,1435079200.34957,1751247763.41948,2019474244.19359,2118574772.11136,2547163582.33149,3958227428.44513,4155187257.85622,4323339212.2281,4355146427.54937,4693495693.49569,5489359280.75566,6116591928.25112,6407287650.7897,6778321415.12985,11625843213.6076,11091467513.7109,11667976402.763,13489296992.0001,15298004130.4975,15881258056.2009,15046136935.4814,17743376199.3523,17765270014.7571,8.19357050715803
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,34918000,41749000,45144000,43879000,55989000,62983000,70688000,72798000,78476000,112279400,114326300,115347500,122824000,131738200,131398500,132934600,137666300,142745200,185172900,182997300,200716000,212701200,219330300,232092300,241722400,259538700,279667900,..
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,309405315.754853,335568937.061988,391669449.251139,493237913.177749,613010507.417935,1108776724.17623,1165171334.26275,1074373174.16338,1009723326.32056,1186628778.51695,1344664663.9926,1414951227.39805,1450647019.18099,1506914407.82047,2032347629.00637,1985922807.12919,1779520861.64321,1746063580.38174,1777057503.059,2051147606.73687,2362501023.24249,2936019525.60241,3919577285.92703,6592537781.81518,6166863960.00061,6398741855.76276,6800138755.34592,7473550557.07378,8066118984.30581,8405498735.74293,9996240418.70784,10375460680.4361,6.7548973619342
