Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],GDP by Country
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,9144514527.22258,10876408930.3583,11833776659.2272,16826412445.3394,16209686087.6269,25326722339.4991,20356389841.5586,19623025627.1737,17702885393.519,18891048818.7752,22255745799.7326,26040052657.0843,29885218681.9835,33113525803.8067,81995749804.4157,75596598517.3586,78249883995.6255,71517267767.736,70295232513.0515,76507853875.6649,99079365628.3333,122314960843.922,153840051814.059,259405194672.935,242496655711.515,249298706449.182,276364936832.331,295402646018.151,278493308134.096,254096103516.324,316713577508.673,301025249437.947,6.71930760022283
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,92602638697.4156,99800597892.565,113689285303.377,138543203562.724,144188964286.502,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,1029060706187.88,1094010482677.39,1211331627479,1339400843164.88,1470557565965.51,1660280610709.71,1955346808095.44,2285961242869.55,2752118542130.4,10475624783235.6,11061573199439.7,11233314018690.1,12310491176727.3,13894907485398.9,14279968485748,14687743556969.6,17820459342451.2,17963170521079.8,10.1303100417918
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,7198360460.19887,7820380970.53674,8671358732.68486,10315760000.3394,12370029583.6419,38968039721.748,38729822781.5997,38253120737.9671,34894419525.2817,34942489683.9712,36373307085.0887,39212550050.4223,39540080200.3938,47844090709.9908,98486358604.1784,86278947620.5906,99875074935.083,98200641189.1568,97945812789.8533,94644969146.1352,117092416651.395,145600527535.771,161792959247.85,381240864422.407,293492370228.847,282720100286.228,311866875135.576,334198218100.716,323031701210.767,270150956772.567,318511813576.972,343939445259.487,7.43579293158781
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,184009013.501939,191621954.909039,184697225.619057,196726096.467773,279197721.824989,337525853.01581,356500032.83085,341476768.0797,429622178.042984,370106745.980287,382454989.945311,351136579.797929,378512024.115338,425964681.148945,546885223.179133,633706110.445225,653845169.189708,698431794.458549,1149587659.74505,966029599.801322,1012835492.51585,1077439756.12224,1188797449.96036,1195019531.03671,1225039195.93744,1296089479.45824,1242519407.27821,..
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,4877684910.17964,5594770359.28144,6173712814.37126,7870239461.07784,9596960179.64072,13651667371.1676,11006712650.4481,7857729193.20343,7195042616.0071,8095367168.21769,7661625472.57705,8861299976.74158,9021862775.18112,9349764580.41173,6217806273.31082,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484457.5233,14451901696.3878,35909040943.885,37917706485.5896,37134801548.836,38019264804.5125,47568210020.9338,51775829868.7669,48716961864.5378,55350968593.0597,58065953573.3247,4.76328613736422
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,274960699.85855,322128019.323561,410669262.897929,541973362.480998,585364635.354748,2160640566.5396,2097274289.61512,2193581366.40722,2160872541.41887,1849268214.68184,2297753649.27979,2212536313.33492,2389593021.94866,2798746050.58236,1949481380.64925,2354772959.06186,3227927697.43665,2796704603.04443,3034250926.18009,3503723086.7028,4656974937.55227,6650001684.9045,8072305030.68484,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873,13366230821.3293,14615532210.0523,7.64079214300746
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,984830157.65439,1077147482.51074,1238251695.7405,1528925769.80943,1666544754.30852,2606623577.8575,3146772656.3741,3660477828.85798,3919203960.39604,4418983870.96774,4532952047.15628,4614629898.40348,5251025767.47627,5711687786.75989,13684255946.5765,14254866281.1537,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.3032,52016408923.9289,56441920823.7632,58847019584.9144,60516044623.4876,62420164964.6987,64417670555.7821,62395610764.0705,64616482167.7475,68380838316.2777,8.15457447165674
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1455482795.26555,1584128511.27902,1849400398.25228,2508421425.57669,3070152313.83854,7567110855.85391,6838184772.07869,6841639250.21886,6977650648.47401,9158302111.36131,10087654451.341,10255169812.0186,9757410629.74456,10795850584.5874,19619654770.0679,18870992455.7304,16577533891.5688,16810537038.4139,18054383333.5221,21251754334.7999,23510575668.5588,24036918719.3374,25281413268.2525,48843005625.0307,45815005170.6127,48407761031.6758,52512344033.9625,58522477744.7313,59898479821.1946,62982768371.5174,71811075954.676,70018715016.6967,7.44889403857919
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25885225293.6151,23770159784.2572,22128719418.4376,23063323722.5007,26757255951.7786,35254833028.402,41855265955.2919,45025328213.7878,49532592592.8832,59214461630.3993,50742086222.907,52391038979.0338,55937483557.9256,61330483609.8835,61329267533.1316,57624938982.3606,68843674641.2112,70964606464.6427,..
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,5693005200,6914658400,8135150891.92025,9987709650.18094,11405957317.0732,20953510235.2941,22204940512.2235,24039383608.4235,22920490774.102,24226574634.0293,25213935012.0819,27458999472.2955,27023468665.8977,28645436569.1489,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925925.9259,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000,..,..,..
